"specificationID","specificationSelector","classID","sectionID","sectionLabel","sectionURL","ruleNumber","ruleTitle","ruleName","ruleID","ruleUID","ruleURL","ruleTargets","ruleClassification","ruleStyle","ruleText","ruleStatus","ruleSelector"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-1","No base type in the XML namespace","rule-base-type-not-xml-ns","rule_9-1","NDR-3.0-rule_9-1","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-1","[""REF"",""EXT""]","Constraint","schematron","A schema component must not have a base type definition with a {target namespace} that is the XML namespace.",,"NDR-3_0-rule_9-1"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-2","No base type of xs:ID","","rule_9-2","NDR-3.0-rule_9-2","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-2","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}base with a value of xs:ID.",,"NDR-3_0-rule_9-2"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-3","No base type of xs:IDREF","","rule_9-3","NDR-3.0-rule_9-3","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-3","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}base with a value of xs:IDREF.",,"NDR-3_0-rule_9-3"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-4","No base type of xs:IDREFS","","rule_9-4","NDR-3.0-rule_9-4","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-4","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}base with a value of xs:IDREFS.",,"NDR-3_0-rule_9-4"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-5","No base type of xs:anyType","","rule_9-5","NDR-3.0-rule_9-5","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-5","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}base with a value of xs:anyType.",,"NDR-3_0-rule_9-5"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-6","No base type of xs:anySimpleType","","rule_9-6","NDR-3.0-rule_9-6","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-6","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}base with a value of xs:anySimpleType.",,"NDR-3_0-rule_9-6"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-7","No base type of xs:NOTATION","rule-section-no-base-xs-NOTATION","rule_9-7","NDR-3.0-rule_9-7","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-7","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}base with a value of xs:NOTATION.",,"NDR-3_0-rule_9-7"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-8","No base type of xs:ENTITY","rule-section-no-base-xs-ENTITY","rule_9-8","NDR-3.0-rule_9-8","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-8","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}base with a value of xs:ENTITY.",,"NDR-3_0-rule_9-8"
"NDR-3.0","NDR-3_0","NDR","section_9.1.1.1","Section 9.1.1.1. Types prohibited as base types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.1.1","9-9","No base type of xs:ENTITIES","rule-section-no-base-xs-ENTITIES","rule_9-9","NDR-3.0-rule_9-9","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-9","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}base with a value of xs:ENTITIES.",,"NDR-3_0-rule_9-9"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2","Section 9.1.2. Simple type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2","9-10","Simple type definition is top-level","","rule_9-10","NDR-3.0-rule_9-10","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-10","[""REF"",""EXT""]","Constraint","schematron","A simple type definition MUST be top-level.",,"NDR-3_0-rule_9-10"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2","Section 9.1.2. Simple type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2","9-11","No simple type disallowed derivation","","rule_9-11","NDR-3.0-rule_9-11","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-11","[""REF""]","Constraint","schematron","An element xs:simpleType MUST NOT have an attribute {}final.",,"NDR-3_0-rule_9-11"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2","Section 9.1.2. Simple type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2","9-12","Simple type has data definition","","rule_9-12","NDR-3.0-rule_9-12","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-12","[""REF"",""EXT""]","Constraint","schematron","A simple type MUST have a data definition.",,"NDR-3_0-rule_9-12"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.1","Section 9.1.2.1. Simple types prohibited as list item types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.1","9-13","No list item type of xs:ID","","rule_9-13","NDR-3.0-rule_9-13","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-13","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}itemType with a value of xs:ID.",,"NDR-3_0-rule_9-13"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.1","Section 9.1.2.1. Simple types prohibited as list item types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.1","9-14","No list item type of xs:IDREF","","rule_9-14","NDR-3.0-rule_9-14","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-14","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}itemType with a value of xs:IDREF.",,"NDR-3_0-rule_9-14"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.1","Section 9.1.2.1. Simple types prohibited as list item types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.1","9-15","No list item type of xs:anySimpleType","","rule_9-15","NDR-3.0-rule_9-15","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-15","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}itemType with a value of xs:anySimpleType.",,"NDR-3_0-rule_9-15"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.1","Section 9.1.2.1. Simple types prohibited as list item types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.1","9-16","No list item type of xs:ENTITY","","rule_9-16","NDR-3.0-rule_9-16","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-16","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}itemType with a value of xs:ENTITY.",,"NDR-3_0-rule_9-16"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.2","Section 9.1.2.2. Simple types prohibited as union member types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.2","9-17","No union member types of xs:ID","","rule_9-17","NDR-3.0-rule_9-17","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-17","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}memberTypes that includes a value of xs:ID.",,"NDR-3_0-rule_9-17"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.2","Section 9.1.2.2. Simple types prohibited as union member types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.2","9-18","No union member types of xs:IDREF","","rule_9-18","NDR-3.0-rule_9-18","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-18","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}memberTypes that includes a value of xs:IDREF.",,"NDR-3_0-rule_9-18"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.2","Section 9.1.2.2. Simple types prohibited as union member types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.2","9-19","No union member types of xs:IDREFS","","rule_9-19","NDR-3.0-rule_9-19","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-19","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}memberTypes that includes a value of xs:IDREFS.",,"NDR-3_0-rule_9-19"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.2","Section 9.1.2.2. Simple types prohibited as union member types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.2","9-20","No union member types of xs:anySimpleType","","rule_9-20","NDR-3.0-rule_9-20","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-20","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}memberTypes that includes a value of xs:anySimpleType.",,"NDR-3_0-rule_9-20"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.2","Section 9.1.2.2. Simple types prohibited as union member types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.2","9-21","No union member types of xs:ENTITY","","rule_9-21","NDR-3.0-rule_9-21","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-21","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}memberTypes that includes a value of xs:ENTITY.",,"NDR-3_0-rule_9-21"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2.2","Section 9.1.2.2. Simple types prohibited as union member types","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2.2","9-22","No union member types of xs:ENTITIES","","rule_9-22","NDR-3.0-rule_9-22","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-22","[""REF"",""EXT""]","Constraint","schematron","A schema component MUST NOT have an attribute {}memberTypes that includes a value of xs:ENTITIES.",,"NDR-3_0-rule_9-22"
"NDR-3.0","NDR-3_0","NDR","section_9.1.2","Section 9.1.2. Simple type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.2","9-23","Enumeration has data definition","","rule_9-23","NDR-3.0-rule_9-23","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-23","[""REF"",""EXT""]","Constraint","schematron","An enumeration facet MUST have a data definition.",,"NDR-3_0-rule_9-23"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3","Section 9.1.3. Complex type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3","9-24","Complex type definitions is top-level","","rule_9-24","NDR-3.0-rule_9-24","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-24","[""REF"",""EXT""]","Constraint","schematron","A complex type definition MUST be top-level.",,"NDR-3_0-rule_9-24"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3","Section 9.1.3. Complex type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3","9-25","Complex type has data definition","","rule_9-25","NDR-3.0-rule_9-25","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-25","[""REF"",""EXT""]","Constraint","schematron","A complex type MUST have a data definition.",,"NDR-3_0-rule_9-25"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3.1","Section 9.1.3.1. No mixed content","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3.1","9-26","No mixed content on complex type","","rule_9-26","NDR-3.0-rule_9-26","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-26","[""REF"",""EXT""]","Constraint","schematron","A complex type definition MUST NOT have mixed content.",,"NDR-3_0-rule_9-26"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3.1","Section 9.1.3.1. No mixed content","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3.1","9-27","No mixed content on complex content","","rule_9-27","NDR-3.0-rule_9-27","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-27","[""REF"",""EXT""]","Constraint","schematron","A complex type definition with complex content MUST NOT have mixed content.",,"NDR-3_0-rule_9-27"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3","Section 9.1.3. Complex type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3","9-28","Complex type content is explicitly simple or complex","","rule_9-28","NDR-3.0-rule_9-28","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-28","[""REF"",""EXT""]","Constraint","schematron","An element xs:complexType MUST have a child element xs:simpleContent or xs:complexContent.",,"NDR-3_0-rule_9-28"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3.2","Section 9.1.3.2. Complex content","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3.2","9-29","Complex content uses extension","","rule_9-29","NDR-3.0-rule_9-29","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-29","[""REF""]","Constraint","schematron","An element xs:complexContent MUST have a child xs:extension.",,"NDR-3_0-rule_9-29"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3.2.1","Section 9.1.3.2.1. Base type of complex type with complex content has complex content","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3.2.1","9-30","Base type of complex type with complex content must have complex content","rule-ref-ccc-base-has-cc","rule_9-30","NDR-3.0-rule_9-30","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-30","[""REF"",""EXT""]","Constraint","schematron","The base type of complex type that has complex content MUST be a complex type with complex content.",,"NDR-3_0-rule_9-30"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3.2.1","Section 9.1.3.2.1. Base type of complex type with complex content has complex content","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3.2.1","9-31","Base type of complex type with complex content must have complex content","rule-set-ccc-base-has-cc","rule_9-31","NDR-3.0-rule_9-31","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-31","[""SET""]","Constraint","schematron","The base type of complex type that has complex content MUST have complex content.",,"NDR-3_0-rule_9-31"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3.3","Section 9.1.3.3. Simple content","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3.3","9-32","Simple content uses extension","","rule_9-32","NDR-3.0-rule_9-32","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-32","[""REF""]","Constraint","schematron","A complex type definition with simple content schema component MUST have a derivation method of extension.",,"NDR-3_0-rule_9-32"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3","Section 9.1.3. Complex type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3","9-33","No complex type disallowed substitutions","","rule_9-33","NDR-3.0-rule_9-33","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-33","[""REF""]","Constraint","schematron","An element xs:complexType MUST NOT have an attribute {}block.",,"NDR-3_0-rule_9-33"
"NDR-3.0","NDR-3_0","NDR","section_9.1.3","Section 9.1.3. Complex type definition","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.1.3","9-34","No complex type disallowed derivation","","rule_9-34","NDR-3.0-rule_9-34","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-34","[""REF""]","Constraint","schematron","An element xs:complexType MUST NOT have an attribute {}final.",,"NDR-3_0-rule_9-34"
"NDR-3.0","NDR-3_0","NDR","section_9.2.1","Section 9.2.1. Element declaration","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.2.1","9-35","Element declaration is top-level","","rule_9-35","NDR-3.0-rule_9-35","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-35","[""REF"",""EXT""]","Constraint","schematron","An element declaration MUST be top-level.",,"NDR-3_0-rule_9-35"
"NDR-3.0","NDR-3_0","NDR","section_9.2.1","Section 9.2.1. Element declaration","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.2.1","9-36","Element declaration has data definition","","rule_9-36","NDR-3.0-rule_9-36","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-36","[""REF"",""EXT""]","Constraint","schematron","An element declaration MUST have a data definition.",,"NDR-3_0-rule_9-36"
"NDR-3.0","NDR-3_0","NDR","section_9.2.1","Section 9.2.1. Element declaration","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.2.1","9-37","Untyped element is abstract","","rule_9-37","NDR-3.0-rule_9-37","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-37","[""REF"",""EXT""]","Constraint","schematron","A top-level element declaration that does not set the {type definition} property via the attribute ""type"" MUST have the {abstract} property with a value of ""true"".",,"NDR-3_0-rule_9-37"
"NDR-3.0","NDR-3_0","NDR","section_9.2.1","Section 9.2.1. Element declaration","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.2.1","9-38","Element of type xs:anySimpleType is abstract","","rule_9-38","NDR-3.0-rule_9-38","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-38","[""REF"",""EXT""]","Constraint","schematron","An element declaration that has a type xs:anySimpleType MUST have the {abstract} property with a value of ""true"".",,"NDR-3_0-rule_9-38"
"NDR-3.0","NDR-3_0","NDR","section_9.2.1","Section 9.2.1. Element declaration","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.2.1","9-39","Element type not in the XML Schema namespace","","rule_9-39","NDR-3.0-rule_9-39","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-39","[""REF"",""EXT""]","Constraint","schematron","An element type that is not xs:anySimpleType MUST NOT have a namespace name xs.",,"NDR-3_0-rule_9-39"
"NDR-3.0","NDR-3_0","NDR","section_9.2.1","Section 9.2.1. Element declaration","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.2.1","9-40","Element type not in the XML namespace","","rule_9-40","NDR-3.0-rule_9-40","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-40","[""REF"",""EXT""]","Constraint","schematron","An element type MUST NOT have a namespace name that is in the XML namespace.",,"NDR-3_0-rule_9-40"
"NDR-3.0","NDR-3_0","NDR","section_9.2.1","Section 9.2.1. Element declaration","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#section_9.2.1","9-41","Element type is not simple type","","rule_9-41","NDR-3.0-rule_9-41","https://reference.niem.gov/niem/specification/naming-and-design-rules/3.0/niem-ndr-3.0.html#rule_9-41","[""REF"",""EXT""]","Constraint","schematron","An element type that is not xs:anySimpleType MUST NOT be a simple type.",,"NDR-3_0-rule_9-41"
