"specificationID","sectionID","sectionLabel","sectionURL","definitionID","definitionURL","definitionTerm","definitionText","definitionLocal","definitionCurrent"
"CodeLists-4.0","section_2.9","Section 2.9. Code Lists","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.9","definition_column","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_column","column","A column of a code list is metadata that describes a code value within each distinct entry of the code list. Each code value within the code list corresponds to one column of the code list.",true,true
"CodeLists-4.0","section_2.9","Section 2.9. Code Lists","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.9","definition_column_identifier","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_column_identifier","column identifier","A column identifier is an absolute URI that identifies a column of a code list.",true,true
"CodeLists-4.0","section_2.9","Section 2.9. Code Lists","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.9","definition_column_name","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_column_name","column name","A column name is a character string value that identifies a column within the scope of a code list.",true,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_complex_type_definition","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_complex_type_definition","complex type definition","The term complex type definition is defined by [XMLSchema1] Section 2.2.1.3, Complex Type Definition.",false,true
"CodeLists-4.0","section_2.7","Section 2.7. Conformance Targets Attribute Specification","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.7","definition_conformance_target","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_conformance_target","conformance target","The term conformance target is defined by [CTAS] Section 3.1, Conformance Target Defined which states:  A conformance target is a class of artifact, such as an interface, protocol, document, platform, process or service, that is the subject of conformance clauses and normative statements. There may be several conformance targets defined within a specification, and these targets may be diverse so as to reflect different aspects of a specification. For example, a protocol message and a protocol engine may be different conformance targets.",false,true
"CodeLists-4.0","section_2.7","Section 2.7. Conformance Targets Attribute Specification","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.7","definition_conformance_target_identifier","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_conformance_target_identifier","conformance target identifier","The term conformance target identifier is defined by [CTAS] Section 3.1, Conformance Target Defined, which states:  A conformance target identifier is an internationalized resource identifier that uniquely identifies a conformance target.",false,true
"CodeLists-4.0","section_3.3","Section 3.3. CSV code list document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_3.3","definition_CSV_code_list_document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_CSV_code_list_document","CSV code list document","A CSV code list document is a code list document. It is a conformance target of this specification. A CSV code list document MUST conform to all rules of this specification that apply to this conformance target. The conformance target identifier for this conformance target is http://reference.niem.gov/niem/specification/code-lists/4.0/#CSVCodeListDocument.",true,true
"CodeLists-4.0","section_2.10","Section 2.10. RFC 4180: Comma-separated values (CSV) files","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.10","definition_CSV_column_name","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_CSV_column_name","CSV column name","A CSV column name is the portion of a CSV file matching rule name of the ABNF grammar.",false,true
"CodeLists-4.0","section_2.10","Section 2.10. RFC 4180: Comma-separated values (CSV) files","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.10","definition_CSV_field","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_CSV_field","CSV field","A CSV field is the portion of a CSV file matching rule field of the ABNF grammar.",false,true
"CodeLists-4.0","section_2.10","Section 2.10. RFC 4180: Comma-separated values (CSV) files","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.10","definition_CSV_file","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_CSV_file","CSV file","A CSV file is a resource matching rule file of the ABNF grammar.",false,true
"CodeLists-4.0","section_2.10","Section 2.10. RFC 4180: Comma-separated values (CSV) files","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.10","definition_CSV_header","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_CSV_header","CSV header","A CSV header is the portion of a CSV file matching rule header of the ABNF grammar, and which provides names of columns within the CSV file.",false,true
"CodeLists-4.0","section_2.10","Section 2.10. RFC 4180: Comma-separated values (CSV) files","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.10","definition_CSV_record","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_CSV_record","CSV record","A CSV record is the portion of a CSV file matching rule record of the ABNF grammar.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_derived","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_derived","derived","A type $derived is derived from a type $base if and only if type $derived is validly derived from type $base for {extension, restriction} as defined by [XMLSchema1] Section 3.4.6, Constraints on Complex Type Definition Schema Components, subsection Schema Component Constraint: Type Derivation OK (Complex) and Section 3.14.6, Constraints on Simple Type Definition Schema Components, subsection Schema Component Constraint: Type Derivation OK (Simple).",false,true
"CodeLists-4.0","section_2.9","Section 2.9. Code Lists","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.9","definition_distinct_entry","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_distinct_entry","distinct entry","A distinct entry is a single conceptual entity within a code list. It is composed of a set of code values, each corresponding to a column of the code list. It may be thought of as a row of a table, where each individual cell of a row corresponds to a column of the table.",true,true
"CodeLists-4.0","section_2.7","Section 2.7. Conformance Targets Attribute Specification","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.7","definition_effective_conformance_target_identifier","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_effective_conformance_target_identifier","effective conformance target identifier","The term effective conformance target identifier is defined by [CTAS] Section 4, Semantics and Use, which states:  An effective conformance target identifier of a conformant document is an internationalized resource identifier reference that occurs in the document’s effective conformance targets attribute.",false,true
"CodeLists-4.0","section_2.5","Section 2.5. XML Information Set","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.5","definition_element","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_element","element","The term element refers to an element information item as defined by [XML Infoset] Section 2.2, Element Information Items.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_element_declaration","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_element_declaration","element declaration","The term element declaration is defined by [XMLSchema1] Section 2.2.2.1, Element Declaration.",false,true
"CodeLists-4.0","section_2.11","Section 2.11. XML Catalogs","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.11","definition_entity_catalog","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_entity_catalog","entity catalog","The term entity catalog is defined by [XML Catalogs], which states in [XML Catalogs] Section 3, An Entity Catalog:  The catalog is effectively an ordered list of (one or more) catalog entry files. It is up to the application to determine the ordered list of catalog entry files to be used as the logical catalog.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_exclusive_lower_bound","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_exclusive_lower_bound","exclusive lower bound","The term exclusive lower bound is as defined by [XMLSchema2] Section 4.2.1, bounded.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_exclusive_upper_bound","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_exclusive_upper_bound","exclusive upper bound","The term exclusive upper bound is as defined by [XMLSchema2] Section 4.2.1, bounded.",false,true
"CodeLists-4.0","section_3.2","Section 3.2. Genericode code list document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_3.2","definition_Genericode_code_list_document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_Genericode_code_list_document","Genericode code list document","A Genericode code list document is a code list document. It is a conformance target of this specification. A Genericode code list document MUST conform to all rules of this specification that apply to this conformance target. The conformance target identifier for this conformance target is http://reference.niem.gov/niem/specification/code-lists/4.0/#GenericodeCodeListDocument.",true,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_inclusive_lower_bound","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_inclusive_lower_bound","inclusive lower bound","The term inclusive lower bound is as defined by [XMLSchema2] Section 4.2.1, bounded.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_inclusive_upper_bound","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_inclusive_upper_bound","inclusive upper bound","The term inclusive upper bound is as defined by [XMLSchema2] Section 4.2.1, bounded.",false,true
"CodeLists-4.0","section_2.11","Section 2.11. XML Catalogs","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.11","definition_local_context","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_local_context","local context","The resources (i.e., files) that are within the same local cache, ZIP file, or other contained location as an entity catalog are the local context of the entity catalog.",false,true
"CodeLists-4.0","section_2.11","Section 2.11. XML Catalogs","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.11","definition_locally-resolved_resource","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_locally-resolved_resource","locally-resolved resource","A locally-resolved resource for a URI relative to an entity catalog is the resource yielded through the process of resolving the URI into a resource URI using the entity catalog, and then producing the corresponding resource from the local context of the entity catalog.",true,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_normalized_value","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_normalized_value","normalized value","The term normalized value is defined by [XMLSchema1] Section 3.1.4, White Space Normalization during Validation.",false,true
"CodeLists-4.0","section_2.11","Section 2.11. XML Catalogs","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.11","definition_resolve","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_resolve","resolve","The term resolve refers to the process of resolving URI references, as described by [XML Catalogs] Section 7.2.2, Resolution of URI references, which defines the process for resolving a URI reference to a URI for a corresponding resource, as identified by an entity catalog.",false,true
"CodeLists-4.0","section_2.2","Section 2.2. RFC 3986: Uniform Resource Identifier (URI): Generic Syntax","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.2","definition_resource","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_resource","resource","The term resource is defined by [RFC3986] Section 1.1, Overview of URIs, which states:  This specification does not limit the scope of what might be a resource; rather, the term resource is used in a general sense for whatever might be identified by a URI. Familiar examples include an electronic document, an image, a source of information with a consistent purpose (e.g., today’s weather report for Los Angeles), a service (e.g., an HTTP-to-SMS gateway), and a collection of other resources.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_schema_component","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_schema_component","schema component","The term schema component is defined by [XMLSchema1] Section 2.2, XML Schema Abstract Data Model, which states:  Schema component is the generic term for the building blocks that comprise the abstract data model of the schema.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_schema_document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_schema_document","schema document","The term schema document is defined by [XMLSchema1] Section 3.1.2, XML Representations of Components, which states:  A document in this form (i.e. a  element information item) is a schema document.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_schema-valid","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_schema-valid","schema-valid","The term schema-valid refers to valid as defined by [XMLSchema1] Section 2.1, Overview of XML Schema.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_simple_type_definition","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_simple_type_definition","simple type definition","The term simple type definition is defined by [XMLSchema1] Section 2.2.1.2, Simple Type Definition.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_substitution_group","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_substitution_group","substitution group","The substitution group of an element declaration is defined by [XMLSchema1] Section 3.3.6, Constraints on Element Declaration Schema Components.",false,true
"CodeLists-4.0","section_2.5","Section 2.5. XML Information Set","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.5","definition_text","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_text","text","The term text refers to the encapsulation of a series of character information items, as defined by defined by [XML Infoset] Section 2.6, Character Information Items. A text item aggregates all contiguous character information items that have the same parent node.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_type_definition","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_type_definition","type definition","The term type definition is defined by [XMLSchema1] Section 2.2.1, Type Definition Components.",false,true
"CodeLists-4.0","section_2.2","Section 2.2. RFC 3986: Uniform Resource Identifier (URI): Generic Syntax","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.2","definition_uniform_resource_identifier","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_uniform_resource_identifier","uniform resource identifier","[RFC3986] defines uniform resource identifier (URI), which it describes as:  A Uniform Resource Identifier (URI) is a compact sequence of characters that identifies an abstract or physical resource.",false,true
"CodeLists-4.0","section_2.2","Section 2.2. RFC 3986: Uniform Resource Identifier (URI): Generic Syntax","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.2","definition_URI","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_URI","URI","[RFC3986] defines uniform resource identifier (URI), which it describes as:  A Uniform Resource Identifier (URI) is a compact sequence of characters that identifies an abstract or physical resource.",false,true
"CodeLists-4.0","section_2.3","Section 2.3. XML","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.3","definition_XML_document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_XML_document","XML document","The term XML document is defined by [XML] Section 2, Documents, which states:  A data object is an XML document if it is well-formed, as defined in this specification.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_XML_Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_XML_Schema","XML Schema","The term XML Schema is defined by [XMLSchema1] Section 2.2, XML Schema Abstract Data Model, which states:  An XML Schema is a set of schema components.",false,true
"CodeLists-4.0","section_2.6","Section 2.6. XML Schema","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.6","definition_XML_Schema_definition_language","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_XML_Schema_definition_language","XML Schema definition language","The term XML Schema definition language is defined by [XMLSchema1] subsection Abstract, which states:  XML Schema: Structures specifies the XML Schema definition language, which offers facilities for describing the structure and constraining the contents of XML 1.0 documents, including those which exploit the XML Namespace facility. The schema language, which is itself represented in XML 1.0 and uses namespaces, substantially reconstructs and considerably extends the capabilities found in XML 1.0 document type definitions (DTDs).",false,true
"CodeLists-4.0","section_2.8","Section 2.8. NIEM Naming and Design Rules","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#section_2.8","definition_XML_Schema_document_set","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_XML_Schema_document_set","XML Schema document set","The term XML Schema document set is defined by [NIEM NDR] Section 3.4, XML Schema terminology, which states:  An XML Schema document set is a set of schema documents that together define an XML Schema suitable for assessing the validity of an XML document.",false,true
