"specificationID","specificationSelector","classID","targetCode","targetName","targetURL","targetDescription","targetTutorial","targetStatus"
"NDR-4.0","NDR-4_0","NDR","SET","Conformant Schema Document Set","https://reference.niem.gov/niem/specification/naming-and-design-rules/4.0/niem-ndr-4.0.html#definition_conformant_schema_document_set","A single conceptual XML schema that represents the sum of all rules and definitions within a collection of NIEM REF and EXT schemas, such as an IEPD.","/reference/specifications/ndr/#conformant-schema-document-set-set",
"NDR-4.0","NDR-4_0","NDR","INS","Conformant Instance Document","https://reference.niem.gov/niem/specification/naming-and-design-rules/4.0/niem-ndr-4.0.html#definition_conformant_instance_XML_document","An XML instance document which is valid against a conformant schema document set (SET).","/reference/specifications/ndr/#conformant-instance-document-ins",
"NDR-5.0","NDR-5_0","NDR","REF","Reference Schema Document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_reference_schema_document","A NIEM schema that provides authoritative definitions of broadly reusable schema components and follows a stricter syntax. NIEM release schemas are REFs.","/reference/specifications/ndr/#reference-schema-document-ref","current"
"NDR-5.0","NDR-5_0","NDR","EXT","Extension Schema Document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_extension_schema_document","A NIEM schema for special-purpose content with little reuse expected. EXTs may thus follow a slightly more relaxed syntax. IEPD extension schemas are often EXTs.","/reference/specifications/ndr/#extension-schema-document-ext","current"
"NDR-5.0","NDR-5_0","NDR","SET","Conformant Schema Document Set","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_conformant_schema_document_set","A single conceptual XML schema that represents the sum of all rules and definitions within a collection of NIEM REF and EXT schemas, such as an IEPD.","/reference/specifications/ndr/#conformant-schema-document-set-set","current"
"NDR-5.0","NDR-5_0","NDR","INS","Conformant Instance Document","https://niem.github.io/NIEM-NDR/v5.0/niem-ndr.html#definition_conformant_instance_XML_document","An XML instance document which is valid against a conformant schema document set (SET).","/reference/specifications/ndr/#conformant-instance-document-ins","current"
"MPD-3.0.1","MPD-3_0_1","IEPD","WF-MPD","Model Package Description","https://niem.github.io/MPD-Spec/v3.0.1/model-package-description-3.0.1.html#definition_model_package_description","A set of cohesive XML schema documents and other supporting files that represent one or more reusable or implementable XML information models.",,
"MPD-3.0.1","MPD-3_0_1","IEPD","IEPD","Information Exchange Package Documentation","https://niem.github.io/MPD-Spec/v3.0.1/model-package-description-3.0.1.html#definition_information_exchange_package_documentation","A special kind of MPD that defines the content, structure, and meaning of an information exchange message.",,
"MPD-3.0.1","MPD-3_0_1","IEPD","IEP","Information Exchange Package","https://niem.github.io/MPD-Spec/v3.0.1/model-package-description-3.0.1.html#definition_information_exchange_package","An information exchange message, as an XML instance document.",,
"MPD-3.0.1","MPD-3_0_1","IEPD","Schema-subset","Schema Document Subset","https://niem.github.io/MPD-Spec/v3.0.1/model-package-description-3.0.1.html#definition_schema_document_subset","A set of schemas, corresponding to a set of full reference schemas, that have been reduced and constrained to include only the files and components needed for an information exchange.",,
"MPD-3.0.1","MPD-3_0_1","IEPD","MPD-catalog","MPD catalog document","https://niem.github.io/MPD-Spec/v3.0.1/model-package-description-3.0.1.html#definition_MPD_catalog_document","A XML file that contains metadata about the MPD, including descriptive information and an index of the files it contains.",,
"MPD-3.0.1","MPD-3_0_1","IEPD","XML-catalog","XML catalog document","https://niem.github.io/MPD-Spec/v3.0.1/model-package-description-3.0.1.html#definition_XML_catalog_document","A XML file that maps namespaces to file locations.",,
"IEPD-5.0","IEPD-5_0","IEPD","IEPD","Information Exchange Package Documentation","https://niem.github.io/MPD-Spec/v5.0/niem-iepd-spec.html#definition_information_exchange_package_documentation","A set of artifacts that define the content, structure, and meaning of an information exchange message.  The schemas contained by the IEPD must conform to the NIEM Naming and Design Rules (NDR).",,"current"
"IEPD-5.0","IEPD-5_0","IEPD","WF-IEPD","Well-formed IEPD","https://niem.github.io/MPD-Spec/v5.0/niem-iepd-spec.html#definition_well-formed_IEPD","An IEPD with a less-strict set of requirements.  A well-formed IEPD focuses on the format and structure of the package, includes a valid IEPD catalog with no broken links, and includes and uses other general IEPD artifacts correctly; however, schema conformance to the NIEM Naming and Design Rules (NDR) is not required.",,"current"
"IEPD-5.0","IEPD-5_0","IEPD","IEP","Information Exchange Package","https://niem.github.io/MPD-Spec/v5.0/niem-iepd-spec.html#definition_information_exchange_package","An information exchange message, as an XML instance document.  The use of NIEM-defined elements is not required.",,"current"
"IEPD-5.0","IEPD-5_0","IEPD","FN-IEP","Full NIEM IEP","https://niem.github.io/MPD-Spec/v5.0/niem-iepd-spec.html#definition_full_NIEM_information_exchange_package","An information exchange message, as an XML instance document.  Ths use of elements defined by NIEM reference or extension schemas is required.",,"current"
"IEPD-5.0","IEPD-5_0","IEPD","Schema-subset","Schema document subset","https://niem.github.io/MPD-Spec/v5.0/niem-iepd-spec.html#definition_schema_document_subset","A set of schemas, corresponding to a set of full reference schemas, that have been reduced and constrained to include only the files and components needed for an information exchange.",,"current"
"IEPD-5.0","IEPD-5_0","IEPD","IEPD-catalog","IEPD catalog document","https://niem.github.io/MPD-Spec/v5.0/niem-iepd-spec.html#definition_IEPD_catalog_document","A XML file that contains metadata about the IEPD, including descriptive information and an index of the files it contains.",,"current"
"IEPD-5.0","IEPD-5_0","IEPD","XML-catalog","XML catalog document","https://niem.github.io/MPD-Spec/v5.0/niem-iepd-spec.html#definition_XML_catalog_document","A XML file that maps namespaces to file locations.",,"current"
"CodeLists-4.0","CodeLists-4_0","CodeLists","CLD","code list document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list_document","A file or resource that contains one or more code lists.",,"current"
"CodeLists-4.0","CodeLists-4_0","CodeLists","GC-CLD","Genericode code list document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_Genericode_code_list_document","A code list document with codes represented as Genericode.",,"current"
"CodeLists-4.0","CodeLists-4_0","CodeLists","CSV-CLD","CSV code list document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_CSV_code_list_document","A code list document with codes represented as Comma-separated values (CSV).",,"current"
"CodeLists-4.0","CodeLists-4_0","CodeLists","XSD","code list-enabled schema document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list-enabled_schema_document","An XML Schema document that supports the use of code list documents for validation and meaning.",,"current"
"CodeLists-4.0","CodeLists-4_0","CodeLists","INS","code list-enabled instance document","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list-enabled_instance_document","An XML document that leverages the Code Lists Specification to connect data values with code lists.",,"current"
"CodeLists-4.0","CodeLists-4_0","CodeLists","VSET","code list validation set","https://reference.niem.gov/niem/specification/code-lists/4.0/niem-code-lists-4.0.html#definition_code_list_validation_set","An abstract concept that brings together the necessary components to define validity of XML documents with respect to code lists, and to identify correspondences between XML data and code list distinct entries.",,"current"
"JSON-4.0","JSON-4_0","JSON","STRICT","NIEM JSON document strictly conformant to a schema","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_NIEM_JSON_document_strictly_conformant_to_a_schema","A NIEM JSON document strictly conformant to a schema is a JSON-LD document that may be assigned a one-to-one correspondence to a conformant instance XML document valid against a conformant schema document set.",,"current"
"JSON-4.0","JSON-4_0","JSON","LAX","NIEM JSON document laxly conformant to a schema","https://niem.github.io/NIEM-JSON-Spec/v4.0/niem-json-spec.html#definition_NIEM_JSON_document_laxly_conformant_to_a_schema","A NIEM JSON document laxly conformant to a schema is a JSON-LD document that may be interpreted using the RDF vocabulary defined by a conformant schema document set.",,"current"
"JSON-5.0 beta 1","JSON-5_0beta1","JSON","STRICT","NIEM JSON document strictly conformant to a schema","https://niem.github.io/NIEM-JSON-Spec/draft/niem-json-spec.html#definition_NIEM_JSON_document_strictly_conformant_to_a_schema","A NIEM JSON document strictly conformant to a schema is a JSON-LD document that may be assigned a one-to-one correspondence to a conformant instance XML document valid against a conformant schema document set.",,"draft"
"JSON-5.0 beta 1","JSON-5_0beta1","JSON","LAX","NIEM JSON document laxly conformant to a schema","https://niem.github.io/NIEM-JSON-Spec/draft/niem-json-spec.html#definition_NIEM_JSON_document_laxly_conformant_to_a_schema","A NIEM JSON document laxly conformant to a schema is a JSON-LD document that may be interpreted using the RDF vocabulary defined by a conformant schema document set.",,"draft"
